businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
DD2,,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2008-11-16 16:11:55+00,7742054363,424258,42.34674275,-71.09860525
Deja - Brew,,704 Broadway,South Boston,MA,2127,Active,FS,Eating & Drinking,2006-12-07 18:34:45+00,6172697462,158055,42.33578982,-71.03723932
Del Frisco's Double eagle Steak House,,880 Boylston,Boston,MA,2199,Active,FS,Eating & Drinking,2017-09-07 16:23:02.867+00,8176013421,352615,42.34817385,-71.08287482
Delfino Restaurant,,754 South,Roslindale,MA,2131,Active,FS,Eating & Drinking,2006-12-07 18:35:27+00,6173646738,128944,42.28701962,-71.12948077
DelFriscos Double Eagle Steak House,,250 Northern,South Boston,MA,2210,Active,FS,Eating & Drinking,2010-11-04 14:25:12+00,2147251112,342824,42.34893552,-71.03840072
DELI OF COURSE,,451 D,Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:22+00,7816621277,157722,42.34519365,-71.04197942
Deli One,,85 ARCH ST,BOSTON,MA,2110,Active,FT,Eating & Drinking w/ Take Out,2008-02-26 18:08:52+00,6172927825,,42.35517952,-71.05848045
Delicias Del Caribe,,149 Stoughton,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,2009-12-28 20:25:46+00,6173793381,131112,42.31464382,-71.06032268
Delicious Yogurt,,4198 Washington,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,2014-02-19 13:32:37+00,,145150,42.28684676,-71.1273615
Delini Gelato,,5 Bellevue,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,2019-11-15 17:29:03+00,7742082810,13966,42.28354014,-71.15661715
Del's Lemonade (Vending 10),,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2018-04-27 13:21:29.647+00,5085235781,424258,42.34674275,-71.09860525
Delta Sky Club Express,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,2022-07-25 18:32:04.13+00,,341351,42.36990367,-71.01943961
Delta Sky Club Terminal SAT,,100 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,2021-10-19 17:20:19.647+00,8663723035,341357,42.36453933,-71.02181778
Delta Sky Club Trmnl A Main,,100 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,2015-03-20 17:25:44.143+00,6175682038,341357,42.36453933,-71.02181778
DEM & TED INC.  PIZZA SHUTTLE,,239 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:30+00,6175610711,158185,42.37580553,-71.03893014
DemoBar - Lower Level,,32 Cambridge,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,2023-03-02 17:38:32+00,6177180188,25110,42.38356954,-71.07435043
Democracy Brewing,,29 Temple,Boston,MA,2111,Active,FS,Eating & Drinking,2017-10-10 17:06:22.78+00,2078384703,134064,42.35508053,-71.06216246
Deno's Pizza and Subs,,2040 Centre,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,2022-03-15 13:56:29.957+00,,155703,42.28028778,-71.15800246
Deparma,,182 Sumner,East Boston,MA,2128,Active,FS,Eating & Drinking,2016-10-17 18:26:46.183+00,6175676970,170104,42.3693707,-71.04032304
Detroit Pizza,,594A Washington,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2023-08-04 18:03:55.18+00,6177747466,171341,42.35034092,-71.16683543
Deuxave,,371 Commonwealth,Boston,MA,2215,Active,FS,Eating & Drinking,2010-04-22 14:39:47+00,,163721,42.34946835,-71.08907617
DEVLIN'S RESTAURANT,,332 Washington,Brighton,MA,2135,Active,FS,Eating & Drinking,2006-12-07 18:35:21+00,6179436210,143520,42.34887764,-71.15234268
D'Guru,,43 Kingston,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2022-04-20 18:15:56.197+00,6173315138,166784,42.35346007,-71.05942543
Dig Inn,,557 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,2016-01-08 19:40:47.25+00,9174147539,18347,42.35070254,-71.0761745
Dig Inn,,25 Thomson,Boston,MA,2210,Active,FS,Eating & Drinking,2019-02-11 17:03:25.073+00,,355868,42.35091373,-71.04740639
Dig Inn,,277 Washington,Boston,MA,2108,Active,FS,Eating & Drinking,2016-09-12 17:00:10.41+00,9174147539,144543,42.35761552,-71.05838645
DILLON'S,,955 Boylston,BOSTON,MA,2115,Active,FS,Eating & Drinking,2006-12-07 18:36:00+00,6174211818,,42.34805956,-71.08576053
DIMITRIOS HOUSE OF PIZZA,,1750 Dorchester,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:47+00,6178253086,157311,42.2902281,-71.06288215
Dine Boston,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,2006-12-07 18:35:47+00,4157307532,341351,42.36990367,-71.01943961
DING HO FAST FOOD,,88 Harrison,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:52+00,6174263126,156805,42.35070892,-71.0613163
Dining Hall @Emerson,,122 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,2018-06-05 19:02:27.46+00,7043284375,367801,42.35223953,-71.06577048
DINO'S CAFE,,141 Salem,Boston,MA,2113,Active,FS,Eating & Drinking,2006-12-07 18:35:10+00,6172271991,158091,42.36505861,-71.05537868
Dirty Water Dough Company,,222 Newbury,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,2013-03-05 18:30:09+00,6172620090,101439,42.3497505,-71.0810785
Dirty Water Dough Company,,20 Maverick,East Boston,MA,2128,Active,FS,Eating & Drinking,2019-10-22 18:18:23.92+00,6172242800,392987,42.3716695,-71.04210038
Discovery Cafe,,3 Blackfan,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2013-06-28 16:54:09+00,6172271333,15784,42.33900958,-71.10424959
Distraction Brewing,,2 Belgrade,Roslindale,MA,2131,Active,FS,Eating & Drinking,2018-09-18 18:00:55.97+00,7818208863,340955,42.28687095,-71.13027803
District 7 Tavern,,380 Warren,Roxbury,MA,2119,Active,FS,Eating & Drinking,2018-10-22 14:29:43.763+00,6715447699,157321,42.3179865,-71.0817402
Dive Bar,,100 High,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,2019-10-18 19:23:59.687+00,6174256262,342934,42.35446496,-71.0552991
Dolce,,270 Hanover,Boston,MA,2113,Active,FT,Eating & Drinking w/ Take Out,2007-08-23 13:17:17+00,6177204243,69076,42.36381952,-71.05468043
DOLCE VITA,,215 Hanover,Boston,MA,2113,Active,FS,Eating & Drinking,2006-12-07 18:35:21+00,8572079834,157465,42.36275308,-71.05525058
DOLCE VITA (1696 Comm. Ave.),,1696 Commonwealth,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2011-11-10 13:24:15+00,,163787,42.34124713,-71.14650481
Dolphin Bay,,72 Brighton,Allston,MA,2134,Active,FS,Eating & Drinking,2022-12-01 13:43:38.843+00,5626506886,403829,42.35239961,-71.12872062
Domino's,,165 Fairmount,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,2023-06-13 12:41:32.033+00,6173646550,55671,42.25269462,-71.11868282
Domino's,,4640 Washington,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,2019-02-20 12:33:28.047+00,6173230525,145317,42.27480088,-71.13987187
Domino's,,4000 Washington,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,2019-02-20 12:30:19.9+00,6173186100,145054,42.29231961,-71.12155074
Domino's,,25 Staniford,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2017-12-13 12:55:12.43+00,6173186100,169966,42.36268713,-71.06304202
Domino's,,1144 Saratoga,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2023-08-07 16:38:23.51+00,6175675551,122464,42.38459945,-71.00029026
Domino's Pizza,,205 Adams,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,2012-04-17 16:57:58+00,5085201000,,34.24438675,-73.6513909
Domino's Pizza,,1514 Blue Hill,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,2016-02-03 15:23:10.437+00,6172980900,16300,42.27233958,-71.09324072
Domino's Pizza,,163 Old Colony,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2012-08-08 13:22:58+00,6172682900,105071,42.33402952,-71.05504049
Domino's Pizza,,508 Park,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2019-10-08 17:01:04.613+00,6174249000,157620,42.34770791,-71.10582208
Domino's Pizza,,464 Washington,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2022-06-29 16:44:16.96+00,6177825655,351531,42.34870206,-71.15895037
Domino's Pizza,,416 Cambridge,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2019-01-15 16:19:09.747+00,6173186100,403787,42.35484962,-71.13375062
Domino's Pizza,,277 Main,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,2017-12-19 17:59:48.793+00,6174194400,351873,42.37750953,-71.06670042
Don Tequeno Y Dona Arepa,,491 Blue Hill,Dorchester,MA,2121,Active,FT,Eating & Drinking w/ Take Out,2021-07-08 17:17:59.1+00,6177080221,377674,42.30834956,-71.08361062
Dona Habana Restaurant,,811 Massachusetts,Roxbury,MA,2119,Active,FS,Eating & Drinking,2016-08-11 19:18:41.397+00,6177080796,92656,42.33268478,-71.07292225
Dora Taqueria,,112 Stoughton,Dorchester,MA,2125,Active,FS,Eating & Drinking,2021-04-15 13:09:03.97+00,,384462,42.31546953,-71.06127055
Dorchester Brewing Company,,1246 Massachusetts,Dorchester,MA,2125,Active,FS,Eating & Drinking,2016-03-01 20:00:41.26+00,6178697092,419249,42.32214953,-71.06229775
Dos Manos Kitchen-Lower Level,,32 Cambridge,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,2023-10-10 16:12:10.737+00,6177180188,25110,42.38356954,-71.07435043
Dot Cafe,,1453 Dorchester,Dorchester,MA,2122,Active,FS,Eating & Drinking,2023-11-13 16:33:03.19+00,6175337290,48324,42.30098668,-71.06011066
Double Chin,,86 Harrison,Boston,MA,2111,Active,FS,Eating & Drinking,2014-04-11 19:13:05+00,6179590888,70070,42.35078036,-71.06128239
Double Tree Club Hotel/Starbucks,,821 WASHINGTON,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2009-05-18 13:04:05+00,6179565180,,34.24438675,-73.6513909
Double Tree Guest Suites,,400 Soldiers Field,Allston,MA,2134,Active,FS,Eating & Drinking,2006-12-07 18:34:54+00,7830090,128311,42.3600196,-71.11832058
Doubletree Hotel Boston-Wisteria,,821 Washington,BOSTON,MA,2116,Active,FS,Eating & Drinking,2006-12-07 18:35:16+00,9567900,,42.34880953,-71.06469048
Doughboy Donuts & Deli,,220 Dorchester,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2012-12-03 14:02:36+00,6172697560,48549,42.34011952,-71.05676048
DOUZO JAPANESE RESTAURANT,,131 Dartmouth,Boston,MA,2116,Active,FS,Eating & Drinking,2006-12-07 18:36:36+00,6176427457,46311,42.34657869,-71.07535827
Dovetail,,1 First,Charlestown,MA,2129,Active,FS,Eating & Drinking,2019-08-21 17:04:47.7+00,6173375703,157198,42.37526375,-71.05448549
Down Home Delivery & Catering,,2 Bowdoin,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,2010-10-01 13:31:58+00,6172880813,17676,42.29961954,-71.07332061
Dragon Bowl,,396 Brookline,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2008-01-04 18:41:11+00,7818886896,22101,42.33828959,-71.1069506
Dragon Chef East,,4198 Washington,Roslindale,MA,2131,Active,FS,Eating & Drinking,2008-05-16 13:38:34+00,6173273650,145150,42.28684676,-71.1273615
Drydock Cafe,,7 Dry Dock,Boston,MA,2210,Active,FS,Eating & Drinking,2021-01-29 14:14:11.527+00,6179512999,157724,42.34428685,-71.03612435
D's Keys Dueling Pianos,,391 D,Boston,MA,2210,Active,FS,Eating & Drinking,2018-03-16 17:02:49.013+00,6175310707,355422,42.34288037,-71.04539563
DUBLIN HOUSE,,9 Stoughton,Dorchester,MA,2125,Active,FS,Eating & Drinking,2006-12-07 18:34:11+00,6172822235,155753,42.31668881,-71.06482172
Dublin House of Pizza,,197 Humboldt,Dorchester,MA,2121,Active,FT,Eating & Drinking w/ Take Out,2022-04-25 19:10:55.653+00,6176765648,377084,42.31304957,-71.08981062
Ducali Pizzeria & Bar,,289 Causeway,BOSTON,MA,2113,Active,FS,Eating & Drinking,2007-06-01 15:24:41+00,6177424144,,42.36704952,-71.05807043
Dudley Cafe,Shanti Boston LLC,2296 Washington,Roxbury,MA,2119,Active,FS,Eating & Drinking,2014-12-05 14:52:44.7+00,,344708,42.33013981,-71.083663
Dug Out Cafe Inc,,722 COMMONWEALTH ,BOSTON,MA,2115,Active,FS,Eating & Drinking,2006-12-07 18:33:57+00,6172478656,,42.34957444,-71.10598062
Dugout Inseat,,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2011-03-08 13:54:30+00,6175366683,156417,42.34676791,-71.09864844
Dumpling Cafe Inc.,,693 Washington,Boston,MA,2116,Active,FS,Eating & Drinking,2010-04-16 13:59:57+00,6173388859,157022,42.35128544,-71.06310018
Dumpling Daughter,,475 Broadway,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2022-09-28 14:37:48.673+00,,351656,42.33554951,-71.04611047
Dumpling King,,40 Harrison,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2010-12-17 13:52:04+00,6175922383,340723,42.35159938,-71.06099669
Dumpling Kingdom,,137 Harvard,Allston,MA,2134,Active,FS,Eating & Drinking,2019-01-02 16:11:15.617+00,6175628888,354164,42.35224962,-71.13207863
Dumpling Palace,,179 Massachusetts,Boston,MA,2115,Active,FS,Eating & Drinking,2014-07-03 16:57:59.047+00,6466786988,91981,42.34571456,-71.08731054
Dunkin,,100 Cambridge,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2007-05-15 20:47:44+00,6175234443,25222,42.36058353,-71.06210945
Dunkin,,44 Parker,Charlestown,MA,2129,Active,FS,Eating & Drinking,2021-03-15 19:46:35.683+00,9786822382,341101,42.38253276,-71.07924841
DUNKIN',,684 American Legion,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:04+00,5243853,156647,42.28359568,-71.11251492
DUNKIN',,715 Boylston,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:33:53+00,6172677153,18382,42.34964955,-71.08001052
DUNKIN',,157 Seaport,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,2020-11-20 20:36:54.24+00,6174644001,351518,42.34980182,-71.04202198
DUNKIN',,300 Cambridge,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2019-12-18 17:05:09.45+00,6174644001,421118,42.36093009,-71.06848667
DUNKIN (STATION DONUTS),,4610 Washington,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:07+00,7813440172,157298,42.27518494,-71.1395617
Dunkin (store 1916),,1 Harborside,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2018-12-18 16:15:48.497+00,6175619300,155970,42.36340817,-71.02569917
Dunkin 2157- Terminal C Pre-Security,,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2021-02-17 16:06:23.237+00,6175619300,341352,42.36661942,-71.01658968
DUNKIN DONUT,,16 KNEELAND,BOSTON,MA,2109,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:46+00,6176950546,,34.24438675,-73.6513909
DUNKIN DONUT,,326 Congress,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:47+00,2420740000,42100,42.35117951,-71.04926044
Dunkin Donut (Arrival),,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2023-11-01 14:50:23.223+00,6175411911,,34.24438675,-73.6513909
Dunkin Donut (Departures),,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2023-11-01 14:55:30.333+00,6175411911,,34.24438675,-73.6513909
Dunkin Donuts,,1 Harbor,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2008-07-31 14:59:03+00,6174644001,,34.24438675,-73.6513909
Dunkin Donuts,,210 HARVARD,ALLSTON,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2009-03-26 17:25:32+00,6172323402,,34.24438675,-73.6513909
Dunkin Donuts,,31 WM C KELLY,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:28+00,9788981250,,34.24438675,-73.6513909
Dunkin Donuts,,1200 Hyde Park,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:11+00,6173642010,157265,42.25786908,-71.12321121
Dunkin Donuts,,1621 Blue Hill,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,2016-06-06 13:51:34.477+00,6175017046,386582,42.26857958,-71.09413073
Dunkin Donuts,,2290 Dorchester,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,2022-05-24 17:18:03.4+00,8572511653,156550,42.27238236,-71.06779022
Dunkin Donuts,,719 Gallivan,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,2022-05-24 17:20:59.823+00,6176373195,351817,42.28382951,-71.04613059
Dunkin Donuts,,1931 Dorchester,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,2022-05-24 17:21:43.377+00,8572511653,48448,42.28499954,-71.06484062
Dunkin Donuts,,4175 WASHINGTON,ROSLINDALE,MA,2131,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:33:56+00,6173239851,,42.28790226,-71.12700913
Dunkin Donuts,,875 William T Morrissey,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,2022-05-24 17:19:55.463+00,8572511653,336968,42.29355951,-71.04788057
Dunkin Donuts,,1580 Dorchester,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,2022-05-24 17:17:56.327+00,6176373195,157565,42.29691426,-71.06038901
Dunkin Donuts,,1236 Dorchester,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,2022-05-24 17:23:50.65+00,6176373195,156562,42.30843053,-71.05803166
Dunkin Donuts,,100 William T Morrissey,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,2017-10-11 14:34:21.027+00,6172875082,155810,42.3141458,-71.03937283
Dunkin Donuts,,315 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:24+00,7392117,27970,42.32301558,-71.10387763
Dunkin Donuts,,2489 Washington,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,2017-07-12 14:44:58.383+00,6175616320,419827,42.32827851,-71.08685563
Dunkin Donuts,,510 Southampton,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:04+00,6172699894,129078,42.32974952,-71.05739051
Dunkin Donuts,,75 L,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2014-07-10 14:32:20.307+00,6172681792,82583,42.33513506,-71.03563004
Dunkin Donuts,,1912 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2023-03-06 20:07:46.47+00,6172367673,157486,42.33662411,-71.14885076
Dunkin Donuts,,616 MASSACHUSETTS ,BOSTON,MA,2118,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:53+00,6175411911,,42.33715184,-71.07737851
Dunkin Donuts,,115 Forsyth,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:43+00,6176500372,165379,42.33757735,-71.09021112
Dunkin Donuts,,283 Huntington,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2019-01-10 16:44:54.31+00,6175616320,155856,42.34193232,-71.08650147
Dunkin Donuts,,405 D,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,2014-09-19 17:37:28.163+00,6173503194,345086,42.34412076,-71.04416404
Dunkin Donuts,,153 Massachusetts,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2019-01-10 16:46:19.273+00,6175616320,156453,42.34643658,-71.08760029
Dunkin Donuts,,530 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2023-03-06 20:14:04.24+00,6172367673,157953,42.34849806,-71.09629138
Dunkin Donuts,,344 Washington,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2018-01-11 17:24:51.91+00,6178166882,143521,42.3488454,-71.15291421
Dunkin Donuts,,736 Cambridge,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2008-07-24 12:33:57+00,7813311599,156980,42.34957353,-71.1479798
Dunkin Donuts,,598 Washington,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2022-06-30 16:12:44.283+00,5087359402,406602,42.35033966,-71.16693071
Dunkin Donuts,,750 Washington,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:25+00,6172415788,158017,42.35055518,-71.0628613
Dunkin Donuts,,711 Atlantic,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2010-03-05 16:20:29+00,6174644001,6320,42.35115952,-71.05667046
Dunkin Donuts,,179 BRIGHTON ,ALLSTON,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:29+00,6177873462,,42.3535071,-71.1334702
Dunkin Donuts,,147 Tremont,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2017-05-03 16:12:09.85+00,6174644001,170411,42.35511039,-71.06300365
Dunkin Donuts,,417 Washington,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:20+00,6174644001,157146,42.35583034,-71.06040125
Dunkin Donuts,,214 NORTH BEACON,BRIGHTON,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:08+00,6172549433,,42.35586036,-71.14892153
Dunkin Donuts,,60 Everett,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:41+00,6176662083,55003,42.35653963,-71.13923063
Dunkin Donuts,,77 MILK ST,BOSTON,MA,2110,Active,FT,Eating & Drinking w/ Take Out,2007-04-11 15:32:57+00,6174511057,,42.35657952,-71.05650045
Dunkin Donuts,,330 Washington,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,2014-10-30 15:09:06.56+00,6172415219,171039,42.35668781,-71.0586908
Dunkin Donuts,,106 Cambridge,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2018-03-01 19:37:03.793+00,6174644001,351695,42.36106599,-71.06318426
Dunkin Donuts,,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2018-08-09 16:49:24.407+00,6175619300,341353,42.36267681,-71.01863533
Dunkin Donuts,,15 Transportation,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2014-12-15 19:17:05.28+00,6175411911,344514,42.3679717,-71.03030862
Dunkin Donuts,,39 First,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,2015-04-29 17:09:03.927+00,6174918050,58337,42.37555951,-71.0539194
DUNKIN DONUTS',,9 Melnea Cass,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:37+00,6175411911,351610,42.33204461,-71.07372671
DUNKIN DONUTS',,800 Boylston,Boston,MA,2199,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:58+00,9784201220,157244,42.34729636,-71.08145798
DUNKIN DONUTS',,20 North,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:51+00,9788981250,103543,42.36069052,-71.05634644
Dunkin' Donuts,,21 AUSTIN,CHARLESTOWN,MA,2129,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:35+00,6172415917,,34.24438675,-73.6513909
Dunkin' Donuts,,7 Walk Hill,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:32+00,9831902,141731,42.29555961,-71.11610072
Dunkin' Donuts,,1926 Columbus,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:29+00,6175411911,157214,42.31702926,-71.09801181
Dunkin' Donuts,,256 Boston,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:32+00,,17156,42.32086953,-71.06091054
Dunkin' Donuts,,847 Dorchester,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:26+00,,156523,42.32179033,-71.05698063
Dunkin' Donuts,,2360 Washington,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:37+00,6174272800,144493,42.32936956,-71.08446057
Dunkin' Donuts,,1131 Tremont,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:38+00,6175411911,158048,42.33554463,-71.08818909
Dunkin' Donuts,,1 DEACONESS,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:42+00,6172328052,,42.33781286,-71.10907942
Dunkin' Donuts,,22 Beacon,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:17+00,6174644001,157525,42.35770586,-71.06290043
Dunkin' Donuts,,235 Washington,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:18+00,6172481987,158162,42.3581268,-71.05816164
DUNKIN' DONUTS,,16 Tremont,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:41+00,6174644001,356336,42.35908356,-71.05952684
Dunkin' Donuts,,13 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2021-09-03 16:33:53.043+00,6175692576,167525,42.3689774,-71.03920904
Dunkin' Donuts,,356 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2021-09-03 16:32:49.07+00,6175692576,391778,42.37973948,-71.02669033
Dunkin' Donuts,,951 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2021-09-03 16:27:57.057+00,6175692576,14946,42.38588946,-71.00835027
DUNKIN' DONUTS #0311,,818 Harrison,Roxbury,MA,2118,Active,FS,Eating & Drinking,2006-12-07 18:34:48+00,6172470745,156600,42.33472266,-71.07348909
Dunkin Donuts (209 North Harvard St.),,209 NORTH HARVARD,ALLSTON,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:34+00,6172545475,,42.36258117,-71.13070909
Dunkin Donuts (219 Cambridge),,219 Cambridge,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2009-01-26 15:52:26+00,6177871608,25092,42.35822461,-71.1262566
Dunkin Donuts (48 W Broadway),,48 Broadway,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2012-06-28 14:48:17+00,6174644001,160890,42.34238388,-71.05573589
Dunkin Donuts (895 Morton St.),,895 Morton,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,2012-03-08 19:22:58+00,6175411911,97821,42.28043962,-71.08413979
DUNKIN DONUTS (ALLSTON),,509 Cambridge,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:16+00,6178166882,25147,42.35341947,-71.13847026
Dunkin Donuts (Canal St.),,168 Canal,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2006-12-11 18:17:01+00,6173888884,25420,42.36501559,-71.06117999
